In_255 ; 12.75
In_256 ; 14.36
In_257 ; 27.52
In_258 ; 75.46
In_259 ; 64.00
In_260 ; 60.09
In_261 ; 64.36
In_262 ; 61.40
In_263 ; 5.61
In_264 ; 69.89
In_265 ; 72.92
In_266 ; 74.06
In_267 ; 62.99
In_268 ; 83.33
In_269 ; 28.90
In_270 ; 61.59
In_271 ; 35.63
In_272 ; 47.21
In_273 ; 4.28
In_274 ; 43.50
In_275 ; 46.35
In_276 ; 80.97
In_277 ; 90.19
In_278 ; 74.70
In_279 ; 4.90
In_280 ; 45.71
In_281 ; 8.02
In_282 ; 26.77
In_283 ; 7.71
In_284 ; 29.74
In_285 ; 56.34
In_286 ; 61.60
In_287 ; 51.13
In_288 ; 58.81
In_289 ; 46.64
In_290 ; 57.42
In_291 ; 59.80
In_292 ; 25.32
In_293 ; 37.08
In_294 ; 18.37
In_295 ; 51.97
In_296 ; 27.57
In_297 ; 60.23
In_298 ; 70.69
In_299 ; 3.58
In_300 ; 30.87
