In_255 ; 88.33
In_256 ; 80.79
In_257 ; 86.39
In_258 ; 74.37
In_259 ; 93.57
In_260 ; 86.73
In_261 ; 80.01
In_262 ; 74.40
In_263 ; 91.77
In_264 ; 59.68
In_265 ; 66.74
In_266 ; 88.66
In_267 ; 86.40
In_268 ; 90.06
In_269 ; 86.97
In_270 ; 78.52
In_271 ; 94.54
In_272 ; 93.17
In_273 ; 96.52
In_274 ; 96.52
In_275 ; 89.05
In_276 ; 80.92
In_277 ; 85.37
In_278 ; 80.24
In_279 ; 97.47
In_280 ; 95.97
In_281 ; 98.96
In_282 ; 100.00
In_283 ; 94.48
In_284 ; 96.39
In_285 ; 92.64
In_286 ; 93.46
In_287 ; 95.78
In_288 ; 59.00
In_289 ; 84.19
In_290 ; 96.14
In_291 ; 96.64
In_292 ; 95.86
In_293 ; 86.06
In_294 ; 97.65
In_295 ; 87.80
In_296 ; 83.75
In_297 ; 51.20
In_298 ; 65.96
In_299 ; 99.71
In_300 ; 95.41
