Nom image;V3;V2;V1;delta V2-V1;delta V3-V1;delta V3-V2;;;moyenne In;moyenne Sc;;V4 ;V5 ;V6 filtre avant top;V7 filtre apres top;;;V8;V309
In_226 ;76,85;81,53;24,87;56,66;51,98;-4,68;;;;;;54,21;76,85;0;71,21;;;76,85;76,85
In_227 ;41,18;0;0,13;-0,13;41,05;41,18;;;;;;0;41,18;0;34,12;;;41,18;41,18
In_228 ;33,42;50,53;3,31;47,22;30,11;-17,11;;;;;;0;33,42;58,43;19,97;;;33,42;33,42
In_229 ;32,24;0;26,32;-26,32;5,92;32,24;;;;;;20,59;32,24;36,91;76,76;;;32,24;32,24
In_230 ;77,24;76,43;70,22;6,21;7,02;0,81;;;;;;49,21;77,24;46,73;64,05;;;77,24;77,24
In_231 ;39,77;35,34;12,55;22,79;27,22;4,43;;;;;;0;39,77;46,18;46,26;;;39,77;39,77
In_232 ;37,69;22,93;25,16;-2,23;12,53;14,76;;;;;;43,94;37,69;46,96;52,27;;;37,69;37,69
In_233 ;47,19;36,63;32,46;4,17;14,73;10,56;;;;;;36,09;47,19;39,5;40,54;;;47,19;47,19
In_234 ;38,03;30,13;19,97;10,16;18,06;7,9;;;;;;53,32;38,03;45,45;47,11;;;38,03;38,03
In_235 ;6,03;48,51;44,24;4,27;-38,21;-42,48;;;;;;0;6,03;0;0;;;6,03;6,03
In_236 ;45,45;58,49;46,39;12,1;-0,94;-13,04;;;;;;0;45,45;0;0;;;45,45;45,45
In_237 ;19,04;28,81;2,85;25,96;16,19;-9,77;;;;;;0;19,04;15,43;9,15;;;19,04;19,04
In_238 ;14,21;61,64;11,91;49,73;2,3;-47,43;;;;;;0;14,21;32,08;0;;;14,21;14,21
In_239 ;0;44,04;3,77;40,27;-3,77;-44,04;;;;;;0;0;64,78;0;;;0;2,4
In_240 ;0;29,25;0,72;28,53;-0,72;-29,25;;;;;;0;0;45,21;0;;;0;0,72
In_241 ;23,08;35,29;4,05;31,24;19,03;-12,21;;;;;;13,84;23,08;0;19,21;;;23,08;23,08
In_242 ;55,94;53,39;18,11;35,28;37,83;2,55;;;;;;0;55,94;51,18;40,8;;;55,94;55,94
In_243 ;51,41;22,13;27,38;-5,25;24,03;29,28;;;;;;59,85;51,41;54,93;52,71;;;51,41;51,41
In_244 ;58,16;43,64;40,63;3,01;17,53;14,52;;;;;;42,32;58,16;27,05;47,72;;;58,16;58,16
In_245 ;0;56,73;14,04;42,69;-14,04;-56,73;;;;;;0;0;47,53;0;;;0;10,59
In_246 ;79,97;70,45;67,66;2,79;12,31;9,52;;;;;;72,32;79,97;7,53;78,26;;;79,97;79,97
In_247 ;72,57;0;64,69;-64,69;7,88;72,57;;;;;;75,51;72,57;0;75,17;;;72,57;72,57
In_248 ;73,31;0;62,65;-62,65;10,66;73,31;;;;;;62,61;73,31;59,41;67,43;;;73,31;73,31
In_249 ;0;0;21,7;-21,7;-21,7;0;;;;;;0;0;38,57;0;;;0;11,44
In_250 ;70,6;30,53;58,86;-28,33;11,74;40,07;;;;;;71,49;70,6;72,21;68,13;;;70,6;70,6
In_251 ;0;50,91;13,01;37,9;-13,01;-50,91;;;;;;0;0;48,88;0;;;0;8,17
In_252 ;65,92;39,45;7;32,45;58,92;26,47;;;;;;0;65,92;35,47;0;;;65,92;65,92
In_253 ;41,79;0;7,33;-7,33;34,46;41,79;;;;;;0;41,79;0;0;;;41,79;41,79
In_254 ;59,37;0;50,64;-50,64;8,73;59,37;;;;;;44,32;59,37;39,17;56,81;;;59,37;59,37
In_255 ;0;18,59;18,21;0,38;-18,21;-18,59;;;;;;8,64;0;48,89;0;;;0;12,75
In_256 ;14,36;32,73;15,93;16,8;-1,57;-18,37;;;;;;0;14,36;44,47;0;;;14,36;14,36
In_257 ;27,52;27,96;5,86;22,1;21,66;-0,44;;;;;;0;27,52;34,55;0;;;27,52;27,52
In_258 ;75,46;50,53;62,92;-12,39;12,54;24,93;;;;;;76,1;75,46;66,81;79,11;;;75,46;75,46
In_259 ;64;73,25;42,01;31,24;21,99;-9,25;;;;;;0;64;72,25;65,96;;;64;64
In_260 ;60,09;59,45;43,44;16,01;16,65;0,64;;;;;;53,27;60,09;60,77;54,78;;;60,09;60,09
In_261 ;64,36;57,22;40,85;16,37;23,51;7,14;;;;;;56,86;64,36;62,34;58,96;;;64,36;64,36
In_262 ;61,4;61,94;28,44;33,5;32,96;-0,54;;;;;;52,07;61,4;63,34;59,48;;;61,4;61,4
In_263 ;0;60,85;7,34;53,51;-7,34;-60,85;;;;;;0;0;0;0;;;0;5,61
In_264 ;69,89;13,29;51,53;-38,24;18,36;56,6;;;;;;71,55;69,89;70,81;73,53;;;69,89;69,89
In_265 ;72,92;38,51;54,99;-16,48;17,93;34,41;;;;;;72,18;72,92;0;70,42;;;72,92;72,92
In_266 ;74,06;72,62;48,13;24,49;25,93;1,44;;;;;;64,52;74,06;72,44;66,84;;;74,06;74,06
In_267 ;62,99;65,99;37;28,99;25,99;-3;;;;;;52,98;62,99;55,96;63,39;;;62,99;62,99
In_268 ;83,33;81,71;72,82;8,89;10,51;1,62;;;;;;80,45;83,33;84,65;82,87;;;83,33;83,33
In_269 ;28,9;43,95;8,82;35,13;20,08;-15,05;;;;;;20,19;28,9;0;25,94;;;28,9;28,9
In_270 ;61,59;0;59,05;-59,05;2,54;61,59;;;;;;60,67;61,59;52,82;62,07;;;61,59;61,59
In_271 ;35,63;0;34,8;-34,8;0,83;35,63;;;;;;29,49;35,63;0;33;;;35,63;35,63
In_272 ;47,21;62,75;17,4;45,35;29,81;-15,54;;;;;;0;47,21;30,92;0;;;47,21;47,21
In_273 ;0;0;7,3;-7,3;-7,3;0;;;;;;0;0;0;0;;;0;4,28
In_274 ;43,5;57,05;29,69;27,36;13,81;-13,55;;;;;;32,78;43,5;0;39,41;;;43,5;43,5
In_275 ;46,35;68,95;33,68;35,27;12,67;-22,6;;;;;;33,42;46,35;0;42,57;;;46,35;46,35
In_276 ;80,97;75,88;74,63;1,25;6,34;5,09;;;;;;0;80,97;85,84;78,26;;;80,97;80,97
In_277 ;90,19;79,48;78,82;0,66;11,37;10,71;;;;;;88,82;90,19;89,76;90,88;;;90,19;90,19
In_278 ;74,7;0;61,47;-61,47;13,23;74,7;;;;;;68,09;74,7;0;73,4;;;74,7;74,7
In_279 ;0;19,97;8,17;11,8;-8,17;-19,97;;;;;;0;0;35,65;0;;;0;4,9
In_280 ;45,71;65,44;36,08;29,36;9,63;-19,73;;;;;;29,48;45,71;56,78;45,07;;;45,71;45,71
In_281 ;0;0;14,68;-14,68;-14,68;0;;;;;;0;0;0;25,59;;;0;8,02
In_282 ;26,77;47,48;17,5;29,98;9,27;-20,71;;;;;;18,19;26,77;39,54;27,82;;;26,77;26,77
In_283 ;0;0;11,14;-11,14;-11,14;0;;;;;;9,06;0;0;0;;;0;7,71
In_284 ;29,74;33,71;7,13;26,58;22,61;-3,97;;;;;;0;29,74;9,45;0;;;29,74;29,74
In_285 ;56,34;0;62,54;-62,54;-6,2;56,34;;;;;;51,74;56,34;65,22;54,39;;;56,34;56,34
In_286 ;61,6;68,37;56,37;12;5,23;-6,77;;;;;;51,56;61,6;67,68;53,67;;;61,6;61,6
In_287 ;51,13;70,87;23,81;47,06;27,32;-19,74;;;;;;0;51,13;60,88;47,97;;;51,13;51,13
In_288 ;58,81;0;52,57;-52,57;6,24;58,81;;;;;;68,61;58,81;55,75;58,82;;;58,81;58,81
In_289 ;46,64;66,98;58,5;8,48;-11,86;-20,34;;;;;;43,65;46,64;56,91;44,87;;;46,64;46,64
In_290 ;57,42;69,98;69,67;0,31;-12,25;-12,56;;;;;;50,64;57,42;60,53;52,47;;;57,42;57,42
In_291 ;59,8;73,16;68,2;4,96;-8,4;-13,36;;;;;;49,38;59,8;51,89;58,16;;;59,8;59,8
In_292 ;25,32;49,14;12,63;36,51;12,69;-23,82;;;;;;14,51;25,32;34,22;23,08;;;25,32;25,32
In_293 ;37,08;54,35;27,16;27,19;9,92;-17,27;;;;;;21,36;37,08;61,69;62,43;;;37,08;37,08
In_294 ;18,37;20,96;8,32;12,64;10,05;-2,59;;;;;;6,92;18,37;0;16,64;;;18,37;18,37
In_295 ;51,97;24,51;37,32;-12,81;14,65;27,46;;;;;;0;51,97;0;56,7;;;51,97;51,97
In_296 ;27,57;56,83;30,92;25,91;-3,35;-29,26;;;;;;17,45;27,57;0;18,9;;;27,57;27,57
In_297 ;60,23;0;45,29;-45,29;14,94;60,23;;;;;;78,35;60,23;73,44;72,71;;;60,23;60,23
In_298 ;70,69;56,59;57,53;-0,94;13,16;14,1;;;;;;59;70,69;61,27;60,03;;;70,69;70,69
In_299 ;0;48,44;6,48;41,96;-6,48;-48,44;;;;;;2,7;0;0;3,32;;;0;3,58
In_300 ;30,87;48,07;8,32;39,75;22,55;-17,2;;;;;;20,68;30,87;43,54;26,77;;;30,87;30,87
Sc_1 ;15,04;0;5,85;-5,85;9,19;15,04;;;;;;43,97;43,97;51,21;51,07;;;43,97;43,97
Sc_2 ;16,24;0;5,38;-5,38;10,86;16,24;;;;;;40,89;40,89;50,76;46,15;;;40,89;40,89
Sc_3 ;25,3;12,06;13,48;-1,42;11,82;13,24;;;;;;55,01;55,01;59,55;63,5;;;55,01;55,01
Sc_4 ;41,95;0;28,7;-28,7;13,25;41,95;;;;;;70,36;70,36;69,05;69,06;;;70,36;70,36
Sc_5 ;35,8;0;27,39;-27,39;8,41;35,8;;;;;;0;0;0;0;;;0;63,93
Sc_6 ;9,42;0;24,7;-24,7;-15,28;9,42;;;;;;7,39;7,39;11,33;12,88;;;7,39;7,39
Sc_7 ;54,39;2,39;24,87;-22,48;29,52;52;;;;;;6,72;6,72;13,03;13,1;;;6,72;6,72
Sc_8 ;55,4;0;25,89;-25,89;29,51;55,4;;;;;;76,44;76,44;70,92;72,43;;;76,44;76,44
Sc_9 ;37,44;7,47;24,21;-16,74;13,23;29,97;;;;;;74,54;74,54;70,65;70,93;;;74,54;74,54
Sc_10 ;39,8;18,66;20,03;-1,37;19,77;21,14;;;;;;63,42;63,42;56,69;55,91;;;63,42;63,42
Sc_11 ;37,43;0;17,18;-17,18;20,25;37,43;;;;;;66,04;66,04;69,27;69,38;;;66,04;66,04
Sc_12 ;21,9;13,59;13,59;0;8,31;8,31;;;;;;58,33;58,33;65,54;66,3;;;58,33;58,33
Sc_13 ;18,78;6,44;6,44;0;12,34;12,34;;;;;;61,71;61,71;51,06;64,56;;;61,71;61,71
Sc_14 ;12,84;5,07;5,07;0;7,77;7,77;;;;;;59,2;59,2;65,16;67,46;;;59,2;59,2
Sc_15 ;10,78;3,7;3,7;0;7,08;7,08;;;;;;57,74;57,74;61,86;62,48;;;57,74;57,74
Sc_16 ;0;0;0;0;0;0;;;;;;55,14;55,14;63,42;62,96;;;55,14;55,14
Sc_17 ;0;0;0;0;0;0;;;;;;42,72;42,72;49,4;52,61;;;42,72;42,72
Sc_18 ;0;0;1,17;-1,17;-1,17;0;;;;;;0;0;52,41;0;;;0;2,49
Sc_19 ;0;0;1,05;-1,05;-1,05;0;;;;;;64,69;64,69;62,77;56,7;;;64,69;64,69
Sc_20 ;72,16;0;44,43;-44,43;27,73;72,16;;;;;;80,05;80,05;70,03;78,31;;;80,05;80,05
Sc_21 ;63,41;0;29,45;-29,45;33,96;63,41;;;;;;74,85;74,85;75,86;76,06;;;74,85;74,85
Sc_22 ;62,09;7,74;29,32;-21,58;32,77;54,35;;;;;;84,63;84,63;76,52;79,16;;;84,63;84,63
Sc_23 ;43,66;0;14,61;-14,61;29,05;43,66;;;;;;71,77;71,77;72,17;72,77;;;71,77;71,77
Sc_24 ;48,92;1,81;24,38;-22,57;24,54;47,11;;;;;;74,94;74,94;76,46;76,74;;;74,94;74,94
Sc_25 ;52,75;2,4;21,33;-18,93;31,42;50,35;;;;;;72,46;72,46;70,38;70,11;;;72,46;72,46
Sc_26 ;52,26;22,58;26,79;-4,21;25,47;29,68;;;;;;75,4;75,4;72,56;72,24;;;75,4;75,4
Sc_27 ;43,93;4,74;19,38;-14,64;24,55;39,19;;;;;;67,78;67,78;72,54;72,82;;;67,78;67,78
Sc_28 ;50;20,32;21,24;-0,92;28,76;29,68;;;;;;80,84;80,84;81,83;85,15;;;80,84;80,84
Sc_29 ;57,77;2,68;21,98;-19,3;35,79;55,09;;;;;;77,59;77,59;75,82;75,61;;;77,59;77,59
Sc_30 ;50,44;11,67;20,41;-8,74;30,03;38,77;;;;;;62,65;62,65;62,78;63,67;;;62,65;62,65
Sc_31 ;35,8;8,86;12,55;-3,69;23,25;26,94;;;;;;66,17;66,17;66,64;68,11;;;66,17;66,17
Sc_32 ;27,21;5,17;13,75;-8,58;13,46;22,04;;;;;;59,63;59,63;57,89;58,73;;;59,63;59,63
Sc_33 ;0;0;17,29;-17,29;-17,29;0;;;;;;0;0;0;0;;;0;30,12
Sc_34 ;72,83;0;57,69;-57,69;15,14;72,83;;;;;;77,63;77,63;79,26;78,15;;;77,63;77,63
Sc_35 ;73,32;0;55,57;-55,57;17,75;73,32;;;;;;79,25;79,25;81,9;80,08;;;79,25;79,25
Sc_36 ;71,46;0;58,66;-58,66;12,8;71,46;;;;;;75,05;75,05;76,87;76,25;;;75,05;75,05
Sc_37 ;91,37;0;75,94;-75,94;15,43;91,37;;;;;;89,42;89,42;87,87;88,09;;;89,42;89,42
Sc_38 ;94,24;0;74,03;-74,03;20,21;94,24;;;;;;92,48;92,48;90,67;90,78;;;92,48;92,48
Sc_39 ;95,64;0;73,04;-73,04;22,6;95,64;;;;;;94,18;94,18;89,95;91,37;;;94,18;94,18
Sc_40 ;93,96;74;74;0;19,96;19,96;;;;;;93,97;93,97;91,82;92,55;;;93,97;93,97
Sc_41 ;92,08;76,85;76,85;0;15,23;15,23;;;;;;91,76;91,76;89,05;90,04;;;91,76;91,76
Sc_42 ;86,15;0;65,39;-65,39;20,76;86,15;;;;;;83,34;83,34;81,73;82,31;;;83,34;83,34
Sc_43 ;92,35;58,56;58,56;0;33,79;33,79;;;;;;92,81;92,81;91,86;93,55;;;92,81;92,81
Sc_44 ;91,09;70,76;65,65;5,11;25,44;20,33;;;;;;89,49;89,49;88,52;91,24;;;89,49;89,49
Sc_45 ;91,81;77,13;77,13;0;14,68;14,68;;;;;;91,77;91,77;88,49;90,14;;;91,77;91,77
Sc_46 ;91,46;73,78;74,55;-0,77;16,91;17,68;;;;;;91,69;91,69;91,01;90,46;;;91,69;91,69
Sc_47 ;60,78;0;40,68;-40,68;20,1;60,78;;;;;;76,41;76,41;76,83;76,77;;;76,41;76,41
Sc_48 ;63,52;0;46,26;-46,26;17,26;63,52;;;;;;77,79;77,79;79,98;79,95;;;77,79;77,79
Sc_49 ;68,76;0;47,47;-47,47;21,29;68,76;;;;;;81,8;81,8;84,34;84,57;;;81,8;81,8
Sc_50 ;64,95;0;41,52;-41,52;23,43;64,95;;;;;;72,45;72,45;74,39;73,16;;;72,45;72,45
Sc_51 ;68,42;0;43,79;-43,79;24,63;68,42;;;;;;79,47;79,47;81,25;80,72;;;79,47;79,47
Sc_52 ;60,67;34,53;40,03;-5,5;20,64;26,14;;;;;;73,46;73,46;71,94;72,36;;;73,46;73,46
Sc_53 ;78,5;52,14;53,81;-1,67;24,69;26,36;;;;;;93,53;93,53;91,74;92,5;;;93,53;93,53
Sc_54 ;76,97;49,45;50,79;-1,34;26,18;27,52;;;;;;95,9;95,9;96,8;96,69;;;95,9;95,9
Sc_55 ;55,82;33,57;35,59;-2,02;20,23;22,25;;;;;;65,39;65,39;76,77;66,42;;;65,39;65,39
Sc_56 ;48,65;0;32,68;-32,68;15,97;48,65;;;;;;75,97;75,97;80,19;78,74;;;75,97;75,97
Sc_57 ;51,27;0;29,38;-29,38;21,89;51,27;;;;;;69,88;69,88;69,9;73,19;;;69,88;69,88
Sc_58 ;41,59;0;28,38;-28,38;13,21;41,59;;;;;;63,75;63,75;67,48;66,8;;;63,75;63,75
Sc_59 ;74,87;49,48;50,57;-1,09;24,3;25,39;;;;;;95,32;95,32;96,01;95,88;;;95,32;95,32
Sc_60 ;77,37;51,58;53,24;-1,66;24,13;25,79;;;;;;94,81;94,81;91,32;94,14;;;94,81;94,81
Sc_61 ;83,43;48,88;55,17;-6,29;28,26;34,55;;;;;;92,39;92,39;94,85;94,86;;;92,39;92,39
Sc_62 ;45,72;0;30,51;-30,51;15,21;45,72;;;;;;65,46;65,46;67,68;67,63;;;65,46;65,46
Sc_63 ;69,76;0;50,82;-50,82;18,94;69,76;;;;;;81,7;81,7;85,59;85,91;;;81,7;81,7
Sc_64 ;77,75;54,01;54,67;-0,66;23,08;23,74;;;;;;87,2;87,2;85,66;85,3;;;87,2;87,2
Sc_65 ;74,85;0;50,56;-50,56;24,29;74,85;;;;;;96,38;96,38;95,28;95,86;;;96,38;96,38
Sc_66 ;66,52;0;46,89;-46,89;19,63;66,52;;;;;;80,61;80,61;80,75;80,31;;;80,61;80,61
Sc_67 ;55,43;0;39,66;-39,66;15,77;55,43;;;;;;73,05;73,05;71,7;73,02;;;73,05;73,05
Sc_68 ;46,88;24,74;33,99;-9,25;12,89;22,14;;;;;;64,33;64,33;63,22;64,82;;;64,33;64,33
Sc_69 ;86,42;68,93;57,64;11,29;28,78;17,49;;;;;;70,12;70,12;81,86;82,38;;;70,12;70,12
Sc_70 ;59,52;0;45,21;-45,21;14,31;59,52;;;;;;71,64;71,64;69,55;73,35;;;71,64;71,64
Sc_71 ;0;0;7,81;-7,81;-7,81;0;;;;;;0;0;0;0;;;0;4,68
Sc_72 ;0;0;2,4;-2,4;-2,4;0;;;;;;5,02;5,02;0;0;;;5,02;5,02
Sc_73 ;4,22;0;5,25;-5,25;-1,03;4,22;;;;;;0;0;0;0;;;0;4,88
Sc_74 ;28,9;0;3,49;-3,49;25,41;28,9;;;;;;0;0;55,79;0;;;0;6,26
Sc_75 ;27,93;0;10,56;-10,56;17,37;27,93;;;;;;0;0;0;0;;;0;8,46
Sc_76 ;32,98;35,55;26,65;8,9;6,33;-2,57;;;;;;10,39;10,39;0;12,37;;;10,39;10,39
Sc_77 ;0;0;0;0;0;0;;;;;;23,83;23,83;0;0;;;23,83;23,83
Sc_78 ;0;0;0,87;-0,87;-0,87;0;;;;;;23,49;23,49;0;30,1;;;23,49;23,49
Sc_79 ;0;0;1,11;-1,11;-1,11;0;;;;;;33,29;33,29;28,66;27,54;;;33,29;33,29
Sc_80 ;0;0;34,7;-34,7;-34,7;0;;;;;;0;0;0;0;;;0;10,4
Sc_81 ;0;0;0,66;-0,66;-0,66;0;;;;;;38,08;38,08;34,15;47,13;;;38,08;38,08
Sc_82 ;13,12;0;11,63;-11,63;1,49;13,12;;;;;;39,99;39,99;27,4;25,33;;;39,99;39,99
Sc_83 ;0;0;5,87;-5,87;-5,87;0;;;;;;0;0;0;0;;;0;7,05
Sc_84 ;52,09;0;15,49;-15,49;36,6;52,09;;;;;;0;0;63,41;0;;;0;8,7
Sc_85 ;39,84;0;12,02;-12,02;27,82;39,84;;;;;;28,07;28,07;72,46;34,88;;;28,07;28,07
Sc_86 ;37,69;0;20,18;-20,18;17,51;37,69;;;;;;27,71;27,71;67,3;34,22;;;27,71;27,71
Sc_87 ;30,22;0;13,74;-13,74;16,48;30,22;;;;;;0;0;0;0;;;0;7,28
Sc_88 ;36,44;0;12,2;-12,2;24,24;36,44;;;;;;19,09;19,09;19,16;17,61;;;19,09;19,09
Sc_89 ;0;0;0,71;-0,71;-0,71;0;;;;;;62,6;62,6;61,27;46,94;;;62,6;62,6
Sc_90 ;60,07;0;47,76;-47,76;12,31;60,07;;;;;;69,4;69,4;70,35;71,87;;;69,4;69,4
Sc_91 ;74,91;0;54,62;-54,62;20,29;74,91;;;;;;78,83;78,83;77,25;82,32;;;78,83;78,83
Sc_92 ;75,57;0;56,83;-56,83;18,74;75,57;;;;;;75,72;75,72;0;75,64;;;75,72;75,72
Sc_93 ;45,32;33,73;36,36;-2,63;8,96;11,59;;;;;;60,93;60,93;58,19;57,85;;;60,93;60,93
Sc_94 ;80,3;68,46;59,5;8,96;20,8;11,84;;;;;;75,55;75,55;69,31;74,4;;;75,55;75,55
Sc_95 ;43,17;26,19;28,02;-1,83;15,15;16,98;;;;;;57,02;57,02;69,59;55,46;;;57,02;57,02
Sc_96 ;73,09;0;53,33;-53,33;19,76;73,09;;;;;;76,76;76,76;55,11;76,19;;;76,76;76,76
Sc_97 ;33,35;0;22,94;-22,94;10,41;33,35;;;;;;50,57;50,57;53,96;47,89;;;50,57;50,57
Sc_98 ;52,36;0;47,08;-47,08;5,28;52,36;;;;;;63,16;63,16;59,61;62,14;;;63,16;63,16
Sc_99 ;60,78;0;59,7;-59,7;1,08;60,78;;;;;;66,61;66,61;65,98;64,74;;;66,61;66,61
Sc_100 ;48,32;0;35,93;-35,93;12,39;48,32;;;;;;54,79;54,79;57,51;57,3;;;54,79;54,79
Sc_101 ;70,02;52,03;52,03;0;17,99;17,99;;;;;;72,55;72,55;72,18;72,56;;;72,55;72,55
Sc_102 ;86,65;0;65,51;-65,51;21,14;86,65;;;;;;87,29;87,29;86,85;86,89;;;87,29;87,29
Sc_103 ;57,73;0;42,57;-42,57;15,16;57,73;;;;;;63,75;63,75;68,69;65,83;;;63,75;63,75
Sc_104 ;46,72;28,72;31,08;-2,36;15,64;18;;;;;;53,05;53,05;56,2;55,25;;;53,05;53,05
Sc_105 ;46,97;0;32,25;-32,25;14,72;46,97;;;;;;54,24;54,24;56,91;56,86;;;54,24;54,24
Sc_106 ;67,88;0;59,59;-59,59;8,29;67,88;;;;;;82,62;82,62;81,99;82,68;;;82,62;82,62
Sc_107 ;79,33;57,46;57,46;0;21,87;21,87;;;;;;82,96;82,96;83,72;83,35;;;82,96;82,96
Sc_108 ;74,73;0;57,09;-57,09;17,64;74,73;;;;;;84,24;84,24;87,61;85,85;;;84,24;84,24
Sc_109 ;71,19;0;54,82;-54,82;16,37;71,19;;;;;;80,61;80,61;89,62;80,37;;;80,61;80,61
Sc_110 ;77,19;45,99;59,79;-13,8;17,4;31,2;;;;;;83,36;83,36;75,91;83,46;;;83,36;83,36
Sc_111 ;80,43;45,03;60,6;-15,57;19,83;35,4;;;;;;83,74;83,74;79,5;83,13;;;83,74;83,74
Sc_112 ;88,29;57,16;66,74;-9,58;21,55;31,13;;;;;;88,38;88,38;91,85;88,69;;;88,38;88,38
Sc_113 ;86,41;44,17;62,49;-18,32;23,92;42,24;;;;;;88,38;88,38;88,07;87,99;;;88,38;88,38
Sc_114 ;88,45;61,79;61,79;0;26,66;26,66;;;;;;89,8;89,8;89,86;89,64;;;89,8;89,8
Sc_115 ;86,28;46,69;62,35;-15,66;23,93;39,59;;;;;;87,67;87,67;87,05;87,39;;;87,67;87,67
Sc_116 ;80,94;54,16;63,92;-9,76;17,02;26,78;;;;;;82,69;82,69;82,41;82,82;;;82,69;82,69
Sc_117 ;87,55;48,84;64,83;-15,99;22,72;38,71;;;;;;88,68;88,68;87,68;88,01;;;88,68;88,68
Sc_118 ;81,96;57,31;63,33;-6,02;18,63;24,65;;;;;;82,99;82,99;82,83;82,4;;;82,99;82,99
Sc_119 ;79,5;57,71;63,69;-5,98;15,81;21,79;;;;;;80,69;80,69;80,4;80,18;;;80,69;80,69
Sc_120 ;80,46;60,94;60,94;0;19,52;19,52;;;;;;83,78;83,78;83,52;84,28;;;83,78;83,78
Sc_121 ;84,45;67,16;67,8;-0,64;16,65;17,29;;;;;;86,23;86,23;86,15;86,01;;;86,23;86,23
Sc_122 ;82,37;66,91;68,43;-1,52;13,94;15,46;;;;;;86,24;86,24;86,21;86,12;;;86,24;86,24
Sc_123 ;89,97;74,75;73,28;1,47;16,69;15,22;;;;;;84,22;84,22;84,02;83,88;;;84,22;84,22
Sc_124 ;48,22;37,38;33,58;3,8;14,64;10,84;;;;;;66,73;66,73;22,32;64,58;;;66,73;66,73
Sc_125 ;38,75;0;30,02;-30,02;8,73;38,75;;;;;;0;0;0;0;;;0;52,4
Sc_126 ;71,82;3,17;50,26;-47,09;21,56;68,65;;;;;;72,76;72,76;64,9;71,39;;;72,76;72,76
Sc_127 ;76,49;0;37,16;-37,16;39,33;76,49;;;;;;85,96;85,96;83,49;83,71;;;85,96;85,96
Sc_128 ;79,82;0;41,56;-41,56;38,26;79,82;;;;;;84,01;84,01;80,58;80,19;;;84,01;84,01
Sc_129 ;84,62;0;41,38;-41,38;43,24;84,62;;;;;;88,48;88,48;87,91;87,4;;;88,48;88,48
Sc_130 ;46,43;0;31,57;-31,57;14,86;46,43;;;;;;67,58;67,58;66,26;67,22;;;67,58;67,58
Sc_131 ;41,65;0;26,69;-26,69;14,96;41,65;;;;;;63,13;63,13;61,65;63,32;;;63,13;63,13
Sc_132 ;55,82;16,41;40,27;-23,86;15,55;39,41;;;;;;74,91;74,91;71,52;73,51;;;74,91;74,91
Sc_133 ;55,14;0;44,79;-44,79;10,35;55,14;;;;;;70,07;70,07;71,76;71,73;;;70,07;70,07
Sc_134 ;53,87;0;52,9;-52,9;0,97;53,87;;;;;;77,34;77,34;77,44;77,73;;;77,34;77,34
Sc_135 ;66,91;0;58,44;-58,44;8,47;66,91;;;;;;86,28;86,28;85,58;86,05;;;86,28;86,28
Sc_136 ;81,04;0;65,66;-65,66;15,38;81,04;;;;;;83,81;83,81;83,58;84,42;;;83,81;83,81
Sc_137 ;87,98;0;68,91;-68,91;19,07;87,98;;;;;;91,69;91,69;91,19;91,82;;;91,69;91,69
Sc_138 ;90,96;0;72,69;-72,69;18,27;90,96;;;;;;93,79;93,79;93,37;93,59;;;93,79;93,79
Sc_139 ;94,31;83,45;83,45;0;10,86;10,86;;;;;;94,1;94,1;94,15;94,34;;;94,1;94,1
Sc_140 ;94,64;80,2;80,2;0;14,44;14,44;;;;;;94,86;94,86;94,97;94,9;;;94,86;94,86
Sc_141 ;76,14;66,61;66,61;0;9,53;9,53;;;;;;75,88;75,88;75,66;75,42;;;75,88;75,88
Sc_142 ;91,23;76,01;76,01;0;15,22;15,22;;;;;;89,92;89,92;88,53;88,29;;;89,92;89,92
Sc_143 ;91,17;72,05;71,98;0,07;19,19;19,12;;;;;;90,37;90,37;88,2;88,59;;;90,37;90,37
Sc_144 ;92,29;67,39;67,39;0;24,9;24,9;;;;;;92,79;92,79;92,03;91,89;;;92,79;92,79
Sc_145 ;82,93;50,93;63,93;-13;19;32;;;;;;87,19;87,19;86,14;85,87;;;87,19;87,19
Sc_146 ;77,82;52,71;56,46;-3,75;21,36;25,11;;;;;;83,87;83,87;82,53;82,72;;;83,87;83,87
Sc_147 ;75,92;52,35;54,73;-2,38;21,19;23,57;;;;;;82,35;82,35;81,26;81,36;;;82,35;82,35
Sc_148 ;80,54;54,69;58,72;-4,03;21,82;25,85;;;;;;85,47;85,47;84,03;84,34;;;85,47;85,47
Sc_149 ;82,06;0;60,43;-60,43;21,63;82,06;;;;;;84,52;84,52;84,42;84,64;;;84,52;84,52
Sc_150 ;66,83;2,7;50,35;-47,65;16,48;64,13;;;;;;74,14;74,14;69,1;70,52;;;74,14;74,14
Sc_151 ;82,91;0;62,6;-62,6;20,31;82,91;;;;;;86,55;86,55;85,02;84,6;;;86,55;86,55
Sc_152 ;75,93;0;55,16;-55,16;20,77;75,93;;;;;;86,37;86,37;85,14;85,4;;;86,37;86,37
Sc_153 ;34,6;0;14,82;-14,82;19,78;34,6;;;;;;60,36;60,36;63,83;60,96;;;60,36;60,36
Sc_154 ;19,3;2,35;5,71;-3,36;13,59;16,95;;;;;;65,89;65,89;66,94;67,38;;;65,89;65,89
Sc_155 ;60,06;42,13;41,94;0,19;18,12;17,93;;;;;;79,94;79,94;80,09;80,19;;;79,94;79,94
