Nom image;V3;V2;V1;delta V2-V1;delta V3-V1;delta V3-V2;;;moyenne In;moyenne Sc;;V4 ;V5 ;V6 filtre avant top;V7 filtre apres top;;;V8;V309
In_50 ;0;72,58;50,15;22,43;-50,15;-72,58;;;;;;0;0;0;0;;;0;46,39
In_51 ;47,64;73,13;22,27;50,86;25,37;-25,49;;;;;;0;47,64;0;46,94;;;47,64;47,64
In_52 ;50,92;73,82;30,74;43,08;20,18;-22,9;;;;;;0;50,92;0;45,36;;;50,92;50,92
In_53 ;0;69,2;19,63;49,57;-19,63;-69,2;;;;;;0;0;0;0;;;0;13,65
In_54 ;22,47;25,88;24,91;0,97;-2,44;-3,41;;;;;;0;22,47;0;0;;;22,47;22,47
In_55 ;64,58;76,11;50,26;25,85;14,32;-11,53;;;;;;54,11;64,58;75,3;61,27;;;64,58;64,58
In_56 ;63,17;73,34;37,17;36,17;26;-10,17;;;;;;52,93;63,17;71,17;59,75;;;63,17;63,17
In_57 ;65,41;0;19,68;-19,68;45,73;65,41;;;;;;0;65,41;0;47,73;;;65,41;65,41
In_58 ;59,55;66,67;14,77;51,9;44,78;-7,12;;;;;;0;59,55;0;38,91;;;59,55;59,55
In_59 ;62,79;46,22;45,94;0,28;16,85;16,57;;;;;;24,71;62,79;0;45,32;;;62,79;62,79
In_60 ;55,33;39,22;18,87;20,35;36,46;16,11;;;;;;52,63;55,33;55,16;56,43;;;55,33;55,33
In_61 ;79,79;44,19;31,34;12,85;48,45;35,6;;;;;;70,17;79,79;0;35,88;;;79,79;79,79
In_62 ;53,52;21,05;18,69;2,36;34,83;32,47;;;;;;52,66;53,52;15,92;55,41;;;53,52;53,52
In_63 ;34,75;57,68;10,27;47,41;24,48;-22,93;;;;;;0;34,75;43,66;31,11;;;34,75;34,75
In_64 ;51,81;67,34;45,05;22,29;6,76;-15,53;;;;;;38,97;51,81;71,23;51,53;;;51,81;51,81
In_65 ;79,13;75,19;70,21;4,98;8,92;3,94;;;;;;74,22;79,13;79,86;78,67;;;79,13;79,13
In_66 ;75,72;81,44;61,89;19,55;13,83;-5,72;;;;;;57,84;75,72;83,78;75,44;;;75,72;75,72
In_67 ;41,65;30,57;16,36;14,21;25,29;11,08;;;;;;13,2;41,65;54,61;14,42;;;41,65;41,65
In_68 ;30;56,75;3,62;53,13;26,38;-26,75;;;;;;0;30;28,42;0;;;30;30
In_69 ;44,99;53,93;10,48;43,45;34,51;-8,94;;;;;;27,97;44,99;41,04;35,23;;;44,99;44,99
In_70 ;39,56;55,13;3,71;51,42;35,85;-15,57;;;;;;33,21;39,56;49,68;35,28;;;39,56;39,56
